"","date","oil","gold","DowJ","NAS","US_INDEX"
"1","2015-01-02",52.72,1184.25,17832.990234,4726.810059,91.080002
"2","2015-01-05",50.05,1192,17501.650391,4652.569824,91.379997
"3","2015-01-06",47.98,1211,17371.640625,4592.740234,91.5
"4","2015-01-07",48.69,1213.75,17584.519531,4650.470215,91.889999
"5","2015-01-08",48.8,1206.5,17907.869141,4736.189941,92.370003
"6","2015-01-09",48.35,1211.25,17737.369141,4704.069824,91.940002
"7","2015-01-12",46.06,1222,17640.839844,4664.709961,91.980003
"8","2015-01-13",45.92,1239,17613.679688,4661.5,92.309998
"9","2015-01-14",48.49,1228.75,17427.089844,4639.319824,92.160004
"10","2015-01-15",46.37,1235.25,17320.710938,4570.819824,92.349998
"11","2015-01-16",48.49,1258.25,17511.570313,4634.379883,92.519997
"12","2015-01-20",46.79,1292.25,17515.230469,4654.850098,93.050003
"13","2015-01-21",47.85,1298,17554.279297,4667.419922,92.900002
"14","2015-01-22",45.93,1287,17813.980469,4750.399902,94.239998
"15","2015-01-23",45.26,1293.5,17672.599609,4757.879883,95
"16","2015-01-26",44.8,1282.75,17678.699219,4771.759766,94.800003
"17","2015-01-27",45.84,1279,17387.210938,4681.5,94.019997
"18","2015-01-28",44.08,1287,17191.369141,4637.990234,94.470001
"19","2015-01-29",44.12,1275.5,17416.849609,4683.410156,94.779999
"20","2015-01-30",47.79,1263.5,17164.949219,4635.240234,94.800003
"21","2015-02-02",49.25,1274.25,17361.039063,4676.689941,94.5
"22","2015-02-03",53.04,1281,17666.400391,4727.740234,93.599998
"23","2015-02-04",48.45,1269.25,17673.019531,4716.700195,93.989998
"24","2015-02-05",50.48,1263.75,17884.880859,4765.100098,94.699997
"25","2015-02-06",51.66,1264,17824.289063,4744.399902,94.699997
"26","2015-02-09",52.99,1242.25,17729.210938,4726.009766,94.449997
"27","2015-02-10",50.06,1237.5,17868.759766,4787.640137,94.760002
"28","2015-02-11",48.8,1235.5,17862.140625,4801.180176,94.989998
"29","2015-02-12",51.17,1225.25,17972.380859,4857.609863,94.089996
"30","2015-02-13",52.66,1225.75,18019.349609,4893.839844,94.199997
"31","2015-02-17",53.56,1221.75,18047.580078,4899.27002,94.059998
"32","2015-02-18",52.13,1206.5,18029.849609,4906.359863,94.199997
"33","2015-02-19",51.12,1217.75,17985.769531,4924.700195,94.400002
"34","2015-02-20",49.95,1203.5,18140.439453,4955.970215,94.25
"35","2015-02-23",49.56,1193.5,18116.839844,4960.970215,94.57
"36","2015-02-24",48.48,1195.5,18209.189453,4968.120117,94.489998
"37","2015-02-25",50.25,1206.5,18224.570313,4967.140137,94.209999
"38","2015-02-26",47.65,1220,18214.419922,4987.890137,95.290001
"39","2015-02-27",49.84,1205,18132.699219,4963.529785,95.25
"40","2015-03-02",49.59,1216.75,18288.630859,5008.100098,95.459999
"41","2015-03-03",50.43,1207.75,18203.369141,4979.899902,95.379997
"42","2015-03-04",51.53,1204.25,18096.900391,4967.140137,95.970001
"43","2015-03-05",50.76,1199.75,18135.720703,4982.810059,96.379997
"44","2015-03-06",49.61,1196.5,17856.779297,4927.370117,97.620003
